33x33;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_barrier, vec_barrier, vec_barrier, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_barrier, vec_shotgunner, vec_ranger, vec_shotgunner, vec_barrier, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_shotgunner, vec_builder_port, vec_builder_port, vec_builder_port, vec_shotgunner, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_ranger, vec_builder_port, vec_redeemer, vec_builder_port, vec_ranger, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_shotgunner, vec_builder_port, vec_builder_port, vec_builder_port, vec_shotgunner, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_barrier, vec_shotgunner, vec_ranger, vec_shotgunner, vec_barrier, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, vec_barrier, vec_barrier, vec_barrier, vec_barrier, vec_barrier, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none, none;
